data.date,data.resultSet.0.detected_virus,data.resultSet.1.cres_successful,data.resultSet.10.detected_spam,data.resultSet.11.total_hard_bounces,data.resultSet.12.detected_virus_per_msg,data.resultSet.13.malicious_url,data.resultSet.14.total_recipients_delivered,data.resultSet.2.cres_failed,data.resultSet.3.threat_content_filter,data.resultSet.4.total_dlp_incidents,data.resultSet.5.total_clean_recipients,data.resultSet.6.total_recipients_processed,data.resultSet.7.ims_spam_increment_over_case,data.resultSet.8.detected_amp,data.resultSet.9.total_recipients,data.type,meta.totalCount,source_file
11/08/2022,0,0,0,3437,0,7,174479,0,7645,1,170148,177799,0,17,177922,mail_outgoing_traffic_summary,3,20220811-PRO-OM.json
12/08/2022,3,4,0,3443,0,10,174488,9,7653,0,170144,177797,3,9,177932,mail_outgoing_traffic_summary,5,20220812-PRO-OM.json
13/08/2022,0,3,0,3446,0,2,174486,5,7647,2,170160,177791,8,2,177928,mail_outgoing_traffic_summary,0,20220813-PRO-OM.json
14/08/2022,0,0,0,3453,8,2,174484,8,7656,5,170147,177804,11,15,177929,mail_outgoing_traffic_summary,9,20220814-PRO-OM.json
15/08/2022,0,0,3,3454,0,0,174475,0,7647,1,170154,177803,0,7,177934,mail_outgoing_traffic_summary,1,20220815-PRO-OM.json
16/08/2022,10,0,0,3449,0,0,174474,0,7652,0,170161,177801,0,2,177927,mail_outgoing_traffic_summary,16,20220816-PRO-OM.json
17/08/2022,7,3,0,3437,2,0,174484,8,7642,3,170163,177793,9,19,177931,mail_outgoing_traffic_summary,13,20220817-PRO-OM.json
18/08/2022,1,6,0,3450,11,0,174471,8,7641,4,170159,177797,13,1,177934,mail_outgoing_traffic_summary,14,20220818-PRO-OM.json
19/08/2022,7,0,1,3439,9,6,174476,0,7651,1,170156,177791,3,19,177927,mail_outgoing_traffic_summary,3,20220819-PRO-OM.json
20/08/2022,3,0,5,3452,0,0,174477,0,7654,0,170154,177803,0,9,177936,mail_outgoing_traffic_summary,11,20220820-PRO-OM.json
21/08/2022,0,6,0,3443,0,0,174478,10,7641,6,170159,177796,5,11,177938,mail_outgoing_traffic_summary,5,20220821-PRO-OM.json
22/08/2022,4,0,4,3452,7,9,174475,0,7640,6,170163,177795,0,7,177932,mail_outgoing_traffic_summary,10,20220822-PRO-OM.json
23/08/2022,0,9,4,3437,4,1,174477,0,7657,2,170147,177795,0,19,177923,mail_outgoing_traffic_summary,13,20220823-PRO-OM.json
24/08/2022,0,0,0,3444,0,0,174487,0,7653,0,170158,177804,13,0,177920,mail_outgoing_traffic_summary,18,20220824-PRO-OM.json
25/08/2022,0,1,0,3438,5,0,174479,7,7648,10,170148,177804,9,20,177923,mail_outgoing_traffic_summary,5,20220825-PRO-OM.json
26/08/2022,0,10,0,3440,0,0,174490,2,7649,6,170148,177790,0,19,177932,mail_outgoing_traffic_summary,10,20220826-PRO-OM.json
27/08/2022,5,0,0,3438,0,2,174485,1,7655,8,170154,177804,11,4,177937,mail_outgoing_traffic_summary,15,20220827-PRO-OM.json
28/08/2022,8,0,10,3453,0,10,174479,10,7644,8,170156,177809,14,0,177933,mail_outgoing_traffic_summary,14,20220828-PRO-OM.json
29/08/2022,0,0,0,3449,0,0,174481,0,7653,9,170163,177805,3,17,177918,mail_outgoing_traffic_summary,11,20220829-PRO-OM.json
30/08/2022,0,1,5,3444,11,8,174488,0,7641,3,170161,177799,14,0,177937,mail_outgoing_traffic_summary,6,20220830-PRO-OM.json
31/08/2022,0,0,0,3438,2,4,174490,8,7655,2,170155,177801,0,9,177919,mail_outgoing_traffic_summary,7,20220831-PRO-OM.json
01/09/2022,0,4,0,3439,1,0,174484,10,7655,6,170158,177794,10,14,177926,mail_outgoing_traffic_summary,19,20220901-PRO-OM.json
02/09/2022,5,7,0,3454,0,0,174487,0,7645,9,170145,177806,8,16,177929,mail_outgoing_traffic_summary,15,20220902-PRO-OM.json
03/09/2022,0,7,7,3449,8,2,174477,2,7654,0,170150,177790,0,9,177932,mail_outgoing_traffic_summary,6,20220903-PRO-OM.json
04/09/2022,0,0,4,3437,8,3,174483,2,7643,7,170158,177797,1,9,177922,mail_outgoing_traffic_summary,16,20220904-PRO-OM.json
05/09/2022,0,8,0,3440,0,0,174477,0,7642,0,170151,177807,12,18,177931,mail_outgoing_traffic_summary,11,20220905-PRO-OM.json
06/09/2022,6,0,0,3447,3,4,174488,0,7644,9,170159,177798,5,8,177930,mail_outgoing_traffic_summary,6,20220906-PRO-OM.json
07/09/2022,0,0,0,3450,6,0,174481,0,7657,9,170162,177802,4,0,177938,mail_outgoing_traffic_summary,16,20220907-PRO-OM.json
08/09/2022,0,0,5,3438,2,0,174477,5,7642,0,170148,177803,2,13,177927,mail_outgoing_traffic_summary,19,20220908-PRO-OM.json
09/09/2022,3,2,3,3453,0,1,174487,0,7652,9,170158,177808,6,17,177934,mail_outgoing_traffic_summary,18,20220909-PRO-OM.json
10/09/2022,0,10,7,3449,5,0,174482,0,7643,0,170159,177795,11,5,177928,mail_outgoing_traffic_summary,19,20220910-PRO-OM.json
11/09/2022,8,2,0,3451,0,0,174475,3,7643,5,170163,177807,14,5,177935,mail_outgoing_traffic_summary,9,20220911-PRO-OM.json
12/09/2022,8,1,0,3454,2,7,174478,9,7658,3,170148,177809,0,6,177924,mail_outgoing_traffic_summary,18,20220912-PRO-OM.json
13/09/2022,8,5,0,3450,5,0,174483,0,7639,0,170146,177810,8,0,177921,mail_outgoing_traffic_summary,5,20220913-PRO-OM.json
14/09/2022,1,0,0,3439,9,2,174481,10,7642,3,170162,177804,0,2,177921,mail_outgoing_traffic_summary,12,20220914-PRO-OM.json
15/09/2022,2,0,0,3452,0,0,174487,10,7655,7,170162,177794,2,2,177927,mail_outgoing_traffic_summary,9,20220915-PRO-OM.json
16/09/2022,6,0,0,3437,8,10,174483,0,7638,0,170144,177805,5,12,177922,mail_outgoing_traffic_summary,6,20220916-PRO-OM.json
17/09/2022,0,0,0,3452,0,10,174482,0,7645,6,170156,177801,8,2,177936,mail_outgoing_traffic_summary,1,20220917-PRO-OM.json
18/09/2022,4,0,1,3456,11,0,174488,0,7641,0,170144,177797,0,6,177930,mail_outgoing_traffic_summary,17,20220918-PRO-OM.json
19/09/2022,8,6,0,3444,0,5,174486,0,7650,0,170148,177790,4,19,177925,mail_outgoing_traffic_summary,10,20220919-PRO-OM.json
20/09/2022,8,0,10,3446,0,7,174489,0,7647,0,170147,177795,7,20,177933,mail_outgoing_traffic_summary,10,20220920-PRO-OM.json
21/09/2022,4,0,0,3448,0,0,174487,0,7647,0,170153,177798,0,2,177928,mail_outgoing_traffic_summary,1,20220921-PRO-OM.json
22/09/2022,2,1,0,3454,0,0,174473,0,7652,0,170151,177804,8,8,177925,mail_outgoing_traffic_summary,1,20220922-PRO-OM.json
23/09/2022,0,8,1,3449,0,2,174490,8,7656,0,170146,177808,0,9,177935,mail_outgoing_traffic_summary,14,20220923-PRO-OM.json
24/09/2022,4,0,0,3436,0,1,174485,1,7644,0,170154,177804,10,12,177938,mail_outgoing_traffic_summary,18,20220924-PRO-OM.json
25/09/2022,0,0,10,3456,0,0,174474,5,7640,0,170151,177810,4,8,177926,mail_outgoing_traffic_summary,15,20220925-PRO-OM.json
26/09/2022,6,0,0,3449,9,4,174474,2,7654,0,170156,177791,0,4,177924,mail_outgoing_traffic_summary,9,20220926-PRO-OM.json
27/09/2022,0,0,0,3442,0,8,174486,5,7649,0,170148,177802,0,7,177925,mail_outgoing_traffic_summary,4,20220927-PRO-OM.json
28/09/2022,0,0,6,3438,0,0,174490,0,7638,0,170146,177808,9,4,177920,mail_outgoing_traffic_summary,6,20220928-PRO-OM.json
29/09/2022,0,0,0,3452,7,9,174473,0,7658,0,170143,177806,12,18,177925,mail_outgoing_traffic_summary,12,20220929-PRO-OM.json
30/09/2022,0,1,1,3450,0,0,174477,0,7645,4,170153,177807,13,19,177933,mail_outgoing_traffic_summary,0,20220930-PRO-OM.json
01/10/2022,0,0,0,3453,11,0,174476,4,7642,0,170156,177809,10,9,177935,mail_outgoing_traffic_summary,5,20221001-PRO-OM.json
02/10/2022,0,9,0,3442,0,4,174475,4,7645,10,170163,177801,12,17,177937,mail_outgoing_traffic_summary,1,20221002-PRO-OM.json
03/10/2022,4,0,2,3444,8,0,174470,10,7657,9,170150,177791,4,12,177921,mail_outgoing_traffic_summary,15,20221003-PRO-OM.json
04/10/2022,0,0,4,3448,3,0,174485,1,7654,0,170152,177799,13,2,177927,mail_outgoing_traffic_summary,4,20221004-PRO-OM.json
05/10/2022,0,9,8,3440,9,8,174481,0,7644,0,170158,177804,4,19,177927,mail_outgoing_traffic_summary,9,20221005-PRO-OM.json
06/10/2022,1,6,0,3454,9,0,174485,0,7645,9,170148,177806,0,14,177923,mail_outgoing_traffic_summary,10,20221006-PRO-OM.json
07/10/2022,1,9,0,3454,0,10,174483,0,7645,3,170153,177793,9,15,177933,mail_outgoing_traffic_summary,0,20221007-PRO-OM.json
08/10/2022,9,9,7,3436,11,3,174486,0,7655,6,170146,177792,9,4,177937,mail_outgoing_traffic_summary,12,20221008-PRO-OM.json
09/10/2022,0,0,0,3442,7,2,174480,8,7649,2,170147,177793,1,14,177923,mail_outgoing_traffic_summary,16,20221009-PRO-OM.json
10/10/2022,0,7,0,3450,3,8,174470,0,7655,8,170154,177801,2,7,177937,mail_outgoing_traffic_summary,7,20221010-PRO-OM.json
11/10/2022,0,0,0,3451,10,0,174487,0,7644,0,170162,177801,0,3,177921,mail_outgoing_traffic_summary,0,20221011-PRO-OM.json
12/10/2022,8,0,0,3440,0,5,174470,8,7645,0,170151,177797,11,13,177930,mail_outgoing_traffic_summary,4,20221012-PRO-OM.json
13/10/2022,10,9,0,3456,0,0,174489,8,7650,0,170145,177795,4,7,177928,mail_outgoing_traffic_summary,19,20221013-PRO-OM.json
14/10/2022,4,10,1,3451,8,0,174472,10,7656,3,170159,177810,14,17,177927,mail_outgoing_traffic_summary,13,20221014-PRO-OM.json
15/10/2022,0,9,0,3439,0,0,174474,5,7644,0,170143,177794,0,17,177918,mail_outgoing_traffic_summary,13,20221015-PRO-OM.json
16/10/2022,3,0,0,3454,6,9,174474,0,7643,0,170161,177793,6,7,177918,mail_outgoing_traffic_summary,10,20221016-PRO-OM.json
17/10/2022,0,0,0,3452,6,7,174474,9,7649,9,170150,177800,0,17,177930,mail_outgoing_traffic_summary,18,20221017-PRO-OM.json
18/10/2022,0,6,10,3454,2,4,174483,0,7656,10,170148,177807,11,13,177921,mail_outgoing_traffic_summary,2,20221018-PRO-OM.json
19/10/2022,8,0,0,3446,6,0,174485,0,7646,0,170145,177808,6,18,177924,mail_outgoing_traffic_summary,17,20221019-PRO-OM.json
20/10/2022,5,7,6,3443,0,0,174478,0,7653,2,170163,177808,0,17,177937,mail_outgoing_traffic_summary,12,20221020-PRO-OM.json
21/10/2022,0,0,2,3444,2,0,174470,0,7657,0,170144,177804,14,0,177920,mail_outgoing_traffic_summary,8,20221021-PRO-OM.json
22/10/2022,4,7,0,3452,0,3,174474,0,7644,10,170147,177808,11,6,177922,mail_outgoing_traffic_summary,19,20221022-PRO-OM.json
23/10/2022,0,0,0,3455,3,0,174482,4,7657,5,170153,177804,1,13,177930,mail_outgoing_traffic_summary,18,20221023-PRO-OM.json
24/10/2022,0,0,9,3441,3,7,174482,0,7652,10,170154,177792,10,12,177934,mail_outgoing_traffic_summary,0,20221024-PRO-OM.json
25/10/2022,0,0,7,3441,5,8,174481,0,7651,0,170148,177799,13,19,177936,mail_outgoing_traffic_summary,0,20221025-PRO-OM.json
26/10/2022,3,0,0,3444,0,0,174479,0,7649,7,170163,177796,0,20,177924,mail_outgoing_traffic_summary,15,20221026-PRO-OM.json
27/10/2022,5,0,1,3437,0,0,174484,1,7652,0,170149,177806,3,5,177921,mail_outgoing_traffic_summary,15,20221027-PRO-OM.json
28/10/2022,0,0,7,3450,0,0,174470,0,7656,0,170148,177792,3,19,177928,mail_outgoing_traffic_summary,14,20221028-PRO-OM.json
29/10/2022,7,10,9,3443,8,0,174485,0,7647,7,170157,177802,12,13,177925,mail_outgoing_traffic_summary,11,20221029-PRO-OM.json
30/10/2022,9,6,7,3447,0,0,174470,2,7642,0,170144,177801,11,1,177918,mail_outgoing_traffic_summary,6,20221030-PRO-OM.json
31/10/2022,1,0,0,3452,0,4,174486,0,7656,5,170154,177793,12,15,177920,mail_outgoing_traffic_summary,1,20221031-PRO-OM.json
01/11/2022,0,4,0,3438,0,9,174474,1,7643,0,170150,177805,0,16,177919,mail_outgoing_traffic_summary,14,20221101-PRO-OM.json
02/11/2022,7,0,1,3443,0,0,174476,0,7640,0,170156,177793,10,3,177932,mail_outgoing_traffic_summary,0,20221102-PRO-OM.json
03/11/2022,0,0,10,3436,0,2,174478,0,7656,0,170157,177790,9,4,177938,mail_outgoing_traffic_summary,3,20221103-PRO-OM.json
04/11/2022,0,5,2,3439,0,10,174486,7,7652,0,170144,177800,0,10,177919,mail_outgoing_traffic_summary,13,20221104-PRO-OM.json
05/11/2022,8,0,0,3436,0,0,174472,0,7641,10,170162,177802,0,0,177933,mail_outgoing_traffic_summary,19,20221105-PRO-OM.json
06/11/2022,0,0,0,3443,5,8,174488,0,7655,0,170148,177790,9,16,177921,mail_outgoing_traffic_summary,9,20221106-PRO-OM.json
07/11/2022,0,8,3,3454,0,8,174474,5,7652,0,170143,177803,1,7,177928,mail_outgoing_traffic_summary,17,20221107-PRO-OM.json
08/11/2022,0,6,1,3447,0,10,174487,1,7639,0,170155,177801,8,19,177919,mail_outgoing_traffic_summary,1,20221108-PRO-OM.json
09/11/2022,3,4,10,3446,4,8,174480,10,7638,0,170149,177792,0,7,177934,mail_outgoing_traffic_summary,19,20221109-PRO-OM.json
10/11/2022,0,0,8,3440,9,4,174480,0,7655,6,170153,177810,3,15,177927,mail_outgoing_traffic_summary,2,20221110-PRO-OM.json
11/11/2022,0,8,0,3454,3,0,174470,9,7640,0,170149,177799,9,16,177928,mail_outgoing_traffic_summary,12,20221111-PRO-OM.json
12/11/2022,0,0,3,3456,2,0,174479,0,7652,0,170154,177795,0,8,177929,mail_outgoing_traffic_summary,8,20221112-PRO-OM.json
13/11/2022,0,0,3,3439,0,0,174485,0,7642,0,170152,177794,0,4,177920,mail_outgoing_traffic_summary,12,20221113-PRO-OM.json
14/11/2022,6,0,5,3447,0,7,174471,3,7641,0,170146,177804,0,16,177922,mail_outgoing_traffic_summary,1,20221114-PRO-OM.json
15/11/2022,0,0,0,3451,0,0,174482,5,7653,0,170163,177794,0,3,177919,mail_outgoing_traffic_summary,18,20221115-PRO-OM.json
16/11/2022,1,0,8,3436,11,0,174482,0,7639,0,170161,177791,0,11,177929,mail_outgoing_traffic_summary,2,20221116-PRO-OM.json
17/11/2022,0,8,0,3438,9,6,174485,2,7645,9,170145,177808,0,18,177928,mail_outgoing_traffic_summary,12,20221117-PRO-OM.json
18/11/2022,0,0,10,3437,0,0,174478,0,7645,0,170157,177805,11,13,177931,mail_outgoing_traffic_summary,3,20221118-PRO-OM.json
19/11/2022,0,0,0,3443,0,7,174482,1,7653,1,170152,177790,14,19,177919,mail_outgoing_traffic_summary,8,20221119-PRO-OM.json
20/11/2022,6,10,0,3454,1,0,174476,0,7657,3,170153,177804,9,4,177926,mail_outgoing_traffic_summary,1,20221120-PRO-OM.json
21/11/2022,4,0,0,3448,0,2,174483,1,7656,10,170157,177792,0,15,177922,mail_outgoing_traffic_summary,18,20221121-PRO-OM.json
22/11/2022,4,0,0,3450,4,0,174485,0,7642,0,170150,177795,0,15,177926,mail_outgoing_traffic_summary,0,20221122-PRO-OM.json
23/11/2022,0,0,0,3443,3,0,174470,0,7640,7,170162,177802,0,12,177926,mail_outgoing_traffic_summary,5,20221123-PRO-OM.json
24/11/2022,3,0,3,3449,0,4,174488,8,7639,7,170145,177791,10,3,177934,mail_outgoing_traffic_summary,7,20221124-PRO-OM.json
25/11/2022,10,0,4,3440,6,3,174470,10,7645,3,170163,177807,0,2,177927,mail_outgoing_traffic_summary,2,20221125-PRO-OM.json
26/11/2022,0,6,3,3456,2,5,174475,0,7656,0,170162,177804,0,9,177930,mail_outgoing_traffic_summary,18,20221126-PRO-OM.json
27/11/2022,0,0,10,3447,1,0,174473,1,7643,0,170157,177806,9,3,177922,mail_outgoing_traffic_summary,5,20221127-PRO-OM.json
28/11/2022,2,4,10,3448,0,0,174472,10,7644,7,170162,177809,14,14,177929,mail_outgoing_traffic_summary,0,20221128-PRO-OM.json
29/11/2022,8,0,0,3449,0,5,174476,1,7652,0,170147,177803,7,2,177920,mail_outgoing_traffic_summary,13,20221129-PRO-OM.json
30/11/2022,0,5,8,3445,9,4,174480,0,7641,7,170154,177792,0,13,177933,mail_outgoing_traffic_summary,11,20221130-PRO-OM.json
01/12/2022,2,8,6,3446,3,0,174472,0,7653,0,170153,177803,0,13,177918,mail_outgoing_traffic_summary,2,20221201-PRO-OM.json
02/12/2022,0,8,7,3441,0,7,174483,3,7652,0,170163,177806,0,4,177929,mail_outgoing_traffic_summary,16,20221202-PRO-OM.json
03/12/2022,7,5,4,3439,2,2,174489,2,7655,0,170163,177810,0,17,177918,mail_outgoing_traffic_summary,10,20221203-PRO-OM.json
04/12/2022,0,3,6,3450,6,1,174486,10,7658,0,170153,177803,7,8,177921,mail_outgoing_traffic_summary,0,20221204-PRO-OM.json
05/12/2022,4,0,0,3445,3,2,174473,0,7657,10,170156,177792,0,1,177935,mail_outgoing_traffic_summary,18,20221205-PRO-OM.json
06/12/2022,0,6,1,3442,0,10,174476,8,7642,0,170150,177806,11,1,177931,mail_outgoing_traffic_summary,1,20221206-PRO-OM.json
07/12/2022,0,0,0,3446,0,0,174484,0,7643,0,170146,177790,0,12,177938,mail_outgoing_traffic_summary,6,20221207-PRO-OM.json
08/12/2022,10,8,0,3445,4,2,174488,10,7639,0,170150,177796,8,7,177930,mail_outgoing_traffic_summary,4,20221208-PRO-OM.json
09/12/2022,7,0,0,3451,11,6,174474,0,7647,0,170154,177802,6,18,177938,mail_outgoing_traffic_summary,11,20221209-PRO-OM.json
10/12/2022,8,4,9,3451,0,0,174476,10,7647,0,170148,177793,11,5,177919,mail_outgoing_traffic_summary,1,20221210-PRO-OM.json
11/12/2022,0,2,2,3441,9,0,174482,9,7643,3,170150,177795,13,13,177932,mail_outgoing_traffic_summary,0,20221211-PRO-OM.json
12/12/2022,2,0,0,3453,0,4,174471,0,7638,0,170147,177804,5,5,177924,mail_outgoing_traffic_summary,19,20221212-PRO-OM.json
13/12/2022,10,9,0,3453,9,0,174478,1,7639,0,170149,177803,3,19,177933,mail_outgoing_traffic_summary,2,20221213-PRO-OM.json
14/12/2022,0,0,0,3441,5,10,174470,0,7655,0,170150,177797,13,12,177934,mail_outgoing_traffic_summary,1,20221214-PRO-OM.json
15/12/2022,0,4,5,3442,0,0,174470,0,7650,7,170162,177805,0,10,177922,mail_outgoing_traffic_summary,0,20221215-PRO-OM.json
16/12/2022,0,3,0,3439,11,8,174481,0,7647,6,170160,177802,12,9,177931,mail_outgoing_traffic_summary,3,20221216-PRO-OM.json
17/12/2022,8,0,5,3451,1,9,174483,0,7644,6,170143,177802,13,16,177926,mail_outgoing_traffic_summary,9,20221217-PRO-OM.json
18/12/2022,0,7,0,3441,0,0,174483,4,7643,4,170146,177805,11,7,177925,mail_outgoing_traffic_summary,0,20221218-PRO-OM.json
19/12/2022,2,0,0,3455,0,0,174471,7,7652,0,170147,177799,1,15,177932,mail_outgoing_traffic_summary,18,20221219-PRO-OM.json
20/12/2022,8,0,0,3437,0,6,174490,0,7650,3,170148,177791,0,11,177933,mail_outgoing_traffic_summary,9,20221220-PRO-OM.json
21/12/2022,6,5,0,3455,0,0,174487,0,7654,8,170160,177810,0,6,177921,mail_outgoing_traffic_summary,13,20221221-PRO-OM.json
22/12/2022,2,10,0,3438,11,0,174490,0,7650,4,170145,177798,7,4,177935,mail_outgoing_traffic_summary,19,20221222-PRO-OM.json
23/12/2022,7,9,0,3440,3,8,174478,2,7653,8,170147,177798,0,16,177922,mail_outgoing_traffic_summary,0,20221223-PRO-OM.json
24/12/2022,0,0,2,3441,2,0,174480,0,7649,0,170159,177801,0,13,177933,mail_outgoing_traffic_summary,6,20221224-PRO-OM.json
25/12/2022,4,4,0,3445,0,0,174482,0,7642,1,170156,177790,5,6,177921,mail_outgoing_traffic_summary,12,20221225-PRO-OM.json
26/12/2022,0,0,9,3442,0,0,174482,0,7650,0,170151,177796,0,13,177918,mail_outgoing_traffic_summary,12,20221226-PRO-OM.json
27/12/2022,0,0,4,3439,0,7,174489,10,7657,0,170144,177808,14,6,177924,mail_outgoing_traffic_summary,9,20221227-PRO-OM.json
28/12/2022,0,0,0,3445,0,10,174474,0,7646,7,170146,177795,1,1,177935,mail_outgoing_traffic_summary,7,20221228-PRO-OM.json
29/12/2022,0,4,0,3445,0,0,174482,0,7643,0,170161,177805,0,20,177927,mail_outgoing_traffic_summary,18,20221229-PRO-OM.json
30/12/2022,0,0,0,3443,3,0,174485,0,7638,0,170156,177802,0,11,177938,mail_outgoing_traffic_summary,4,20221230-PRO-OM.json
31/12/2022,0,0,5,3453,8,0,174482,10,7645,2,170156,177807,9,17,177935,mail_outgoing_traffic_summary,1,20221231-PRO-OM.json
01/01/2023,3,0,0,3455,0,6,174475,4,7658,0,170152,177793,0,1,177938,mail_outgoing_traffic_summary,0,20230101-PRO-OM.json
02/01/2023,10,0,0,3437,1,0,174479,0,7646,0,170161,177808,0,18,177933,mail_outgoing_traffic_summary,0,20230102-PRO-OM.json
03/01/2023,0,0,0,3438,0,8,174481,7,7640,5,170146,177804,4,5,177927,mail_outgoing_traffic_summary,10,20230103-PRO-OM.json
04/01/2023,2,3,0,3451,0,0,174484,0,7650,0,170145,177800,4,19,177933,mail_outgoing_traffic_summary,0,20230104-PRO-OM.json
05/01/2023,9,0,0,3449,0,6,174470,0,7648,0,170147,177804,0,15,177928,mail_outgoing_traffic_summary,13,20230105-PRO-OM.json
06/01/2023,0,9,6,3454,0,0,174483,3,7641,5,170162,177807,0,20,177932,mail_outgoing_traffic_summary,5,20230106-PRO-OM.json
07/01/2023,0,10,0,3438,0,3,174470,8,7650,10,170151,177807,0,10,177924,mail_outgoing_traffic_summary,19,20230107-PRO-OM.json
08/01/2023,10,4,0,3439,1,1,174485,0,7643,0,170143,177795,12,20,177937,mail_outgoing_traffic_summary,18,20230108-PRO-OM.json
09/01/2023,9,2,0,3437,7,0,174488,3,7644,8,170154,177801,14,2,177932,mail_outgoing_traffic_summary,12,20230109-PRO-OM.json
10/01/2023,0,9,10,3454,0,4,174479,0,7656,2,170150,177808,0,9,177918,mail_outgoing_traffic_summary,3,20230110-PRO-OM.json
11/01/2023,0,8,4,3439,7,6,174477,4,7641,0,170153,177794,12,13,177938,mail_outgoing_traffic_summary,17,20230111-PRO-OM.json
12/01/2023,0,0,1,3444,0,7,174472,0,7652,0,170151,177790,9,16,177932,mail_outgoing_traffic_summary,10,20230112-PRO-OM.json
13/01/2023,9,0,0,3446,0,0,174475,0,7641,0,170159,177809,9,9,177925,mail_outgoing_traffic_summary,9,20230113-PRO-OM.json
14/01/2023,5,0,10,3439,0,10,174487,0,7656,3,170154,177796,0,6,177930,mail_outgoing_traffic_summary,13,20230114-PRO-OM.json
15/01/2023,0,0,5,3447,0,10,174482,0,7644,3,170161,177792,3,7,177919,mail_outgoing_traffic_summary,12,20230115-PRO-OM.json
16/01/2023,0,2,0,3444,11,0,174480,0,7650,0,170157,177806,8,1,177920,mail_outgoing_traffic_summary,18,20230116-PRO-OM.json
17/01/2023,0,0,0,3454,6,1,174478,0,7654,7,170149,177805,9,9,177927,mail_outgoing_traffic_summary,11,20230117-PRO-OM.json
18/01/2023,0,0,0,3441,0,0,174473,8,7656,1,170161,177809,6,2,177919,mail_outgoing_traffic_summary,14,20230118-PRO-OM.json
19/01/2023,0,0,0,3450,4,10,174482,8,7653,6,170154,177801,13,17,177922,mail_outgoing_traffic_summary,1,20230119-PRO-OM.json
20/01/2023,3,9,0,3451,7,0,174490,9,7640,7,170158,177794,2,1,177921,mail_outgoing_traffic_summary,10,20230120-PRO-OM.json
21/01/2023,2,5,0,3450,0,1,174487,0,7640,0,170151,177807,0,15,177929,mail_outgoing_traffic_summary,8,20230121-PRO-OM.json
22/01/2023,1,0,3,3449,0,0,174487,9,7648,0,170161,177796,0,10,177937,mail_outgoing_traffic_summary,11,20230122-PRO-OM.json
23/01/2023,0,0,9,3456,0,0,174473,0,7646,5,170147,177797,14,5,177922,mail_outgoing_traffic_summary,19,20230123-PRO-OM.json
24/01/2023,6,6,10,3438,0,0,174488,8,7649,0,170155,177808,0,4,177930,mail_outgoing_traffic_summary,15,20230124-PRO-OM.json
25/01/2023,0,8,3,3444,8,5,174473,5,7658,0,170148,177804,0,5,177921,mail_outgoing_traffic_summary,3,20230125-PRO-OM.json
26/01/2023,6,8,0,3442,4,6,174478,6,7651,0,170153,177802,4,5,177922,mail_outgoing_traffic_summary,17,20230126-PRO-OM.json
27/01/2023,6,0,0,3452,1,0,174487,0,7652,10,170159,177792,4,1,177931,mail_outgoing_traffic_summary,19,20230127-PRO-OM.json
28/01/2023,3,4,1,3448,0,5,174485,0,7645,3,170146,177795,8,10,177921,mail_outgoing_traffic_summary,18,20230128-PRO-OM.json
29/01/2023,0,0,0,3436,7,0,174486,0,7649,0,170156,177796,11,7,177918,mail_outgoing_traffic_summary,11,20230129-PRO-OM.json
30/01/2023,0,5,2,3443,5,1,174485,2,7649,7,170146,177804,1,18,177918,mail_outgoing_traffic_summary,17,20230130-PRO-OM.json
31/01/2023,0,4,0,3453,4,2,174470,0,7639,3,170158,177795,14,16,177933,mail_outgoing_traffic_summary,8,20230131-PRO-OM.json
