data.date,data.resultSet.recipients_matched.0.ALLOW_PHIS_SIMULATION_WOMBAT,data.resultSet.recipients_matched.1.BLOC_SEC_BLACKLIST_QUARANTINE,data.resultSet.recipients_matched.10.BLOCK_SPAM_POSITIVE,data.resultSet.recipients_matched.11.BLOCK_SPAM_SDR_AWFUL,data.resultSet.recipients_matched.12.BLOCK_SPAM_SDR_AWFUL_RLUZYGAS,data.resultSet.recipients_matched.13.BLOCK_SPAM_SDR_POOR,data.resultSet.recipients_matched.14.BLOCK_SPAM_SDR_POOR_RLUZYGAS,data.resultSet.recipients_matched.15.BLOCK_SPAM_SUSPECT,data.resultSet.recipients_matched.16.BLOCK_YAMMER,data.resultSet.recipients_matched.17.DMARC_FAILURE,data.resultSet.recipients_matched.18.ESTUDIO_POSITIVO_SPAM,data.resultSet.recipients_matched.19.ESTUDIO_SUSPECTED_SPAM,data.resultSet.recipients_matched.2.BLOCK_SEC_ANTIVIRUS,data.resultSet.recipients_matched.20.MON_EIC_MAIL_CHIMP,data.resultSet.recipients_matched.21.MON_EIC_O365,data.resultSet.recipients_matched.22.MON_WL_AS_IP_DMARC,data.resultSet.recipients_matched.23.MONITOR_GRAYMAIL_NONE,data.resultSet.recipients_matched.24.MONITOR_GRAYMAIL_ZERO,data.resultSet.recipients_matched.25.MONITOR_WL_AS_IP_POS,data.resultSet.recipients_matched.26.MONITOR_WL_AS_IP_SUS,data.resultSet.recipients_matched.27.SPF_HARDFAIL,data.resultSet.recipients_matched.28.URL_QUARANTINE_MALICIOUS,data.resultSet.recipients_matched.3.BLOCK_SEC_Asunto_Mail_Delivered,data.resultSet.recipients_matched.4.BLOCK_SEC_BITCOIN,data.resultSet.recipients_matched.5.BLOCK_SEC_BLACKLIST_SOC_SPAM_INFO,data.resultSet.recipients_matched.6.BLOCK_SEC_EIC_Repsol,data.resultSet.recipients_matched.7.BLOCK_SEC_EIC_resto,data.resultSet.recipients_matched.8.BLOCK_SEC_extensiones_Peligrosas,data.resultSet.recipients_matched.9.BLOCK_SEC_MIME_Type_peligrosos,data.type,meta.totalCount,source_file
19/09/2022,17,89,14132,764,4,1275,0,4231,81786,1572,67,0,372,12,19,8,4623,2580,20,47,750,834,6786,0,38,34,69,33,0,mail_content_filter_incoming,0,20220919-PRO-ICF.json
20/09/2022,27,94,14147,775,1,1279,0,4220,81791,1570,63,18,377,0,17,21,4630,2578,33,45,757,837,6787,0,25,28,82,32,0,mail_content_filter_incoming,0,20220920-PRO-ICF.json
21/09/2022,16,105,14141,781,0,1279,9,4223,81792,1567,72,18,377,3,21,7,4622,2576,22,50,752,825,6796,0,27,24,70,31,8,mail_content_filter_incoming,10,20220921-PRO-ICF.json
22/09/2022,19,106,14134,764,0,1284,0,4219,81786,1577,69,8,391,9,15,10,4615,2575,27,57,759,835,6799,0,31,40,70,50,3,mail_content_filter_incoming,0,20220922-PRO-ICF.json
23/09/2022,20,104,14146,778,8,1281,5,4222,81775,1572,53,16,385,18,22,21,4631,2578,18,53,747,825,6802,0,35,21,77,47,3,mail_content_filter_incoming,0,20220923-PRO-ICF.json
24/09/2022,27,106,14141,764,2,1284,0,4214,81788,1568,63,0,387,10,15,12,4620,2589,18,46,746,829,6785,0,26,32,69,50,9,mail_content_filter_incoming,4,20220924-PRO-ICF.json
25/09/2022,23,92,14138,763,2,1275,0,4231,81779,1567,72,7,387,6,14,23,4625,2590,15,39,757,824,6802,7,29,31,70,39,0,mail_content_filter_incoming,10,20220925-PRO-ICF.json
26/09/2022,16,88,14137,776,2,1286,0,4231,81791,1566,62,7,391,17,26,18,4623,2590,24,44,759,825,6796,0,22,20,85,46,0,mail_content_filter_incoming,0,20220926-PRO-ICF.json
27/09/2022,14,89,14143,771,0,1279,8,4218,81788,1562,56,19,387,13,26,16,4624,2587,30,51,742,821,6794,10,23,30,85,32,0,mail_content_filter_incoming,7,20220927-PRO-ICF.json
28/09/2022,12,98,14148,764,0,1294,0,4214,81776,1573,66,12,392,3,23,11,4627,2578,21,59,742,829,6785,2,38,28,82,50,0,mail_content_filter_incoming,3,20220928-PRO-ICF.json
29/09/2022,23,96,14139,776,0,1277,0,4213,81777,1580,57,10,380,11,20,22,4620,2576,26,49,747,823,6798,0,21,25,66,40,1,mail_content_filter_incoming,2,20220929-PRO-ICF.json
30/09/2022,16,102,14149,768,6,1289,5,4218,81775,1575,62,7,383,10,14,4,4628,2581,32,59,754,832,6804,2,22,37,84,32,0,mail_content_filter_incoming,0,20220930-PRO-ICF.json
01/10/2022,19,98,14144,767,3,1277,0,4232,81779,1566,55,12,392,6,20,9,4622,2577,28,40,762,838,6793,7,34,31,68,32,0,mail_content_filter_incoming,0,20221001-PRO-ICF.json
02/10/2022,28,96,14132,774,7,1289,8,4231,81786,1577,61,13,383,0,22,6,4612,2586,19,40,743,826,6788,10,23,36,82,51,0,mail_content_filter_incoming,0,20221002-PRO-ICF.json
03/10/2022,14,92,14133,768,8,1282,0,4223,81787,1564,53,4,388,10,25,4,4632,2593,24,54,760,837,6787,2,19,33,73,48,0,mail_content_filter_incoming,1,20221003-PRO-ICF.json
04/10/2022,20,103,14145,765,0,1279,7,4230,81773,1580,54,6,388,20,12,16,4615,2580,32,52,762,822,6798,5,19,29,85,37,0,mail_content_filter_incoming,0,20221004-PRO-ICF.json
05/10/2022,26,94,14140,763,7,1291,0,4216,81774,1560,70,19,376,12,23,20,4614,2583,21,50,748,833,6796,7,27,40,69,40,10,mail_content_filter_incoming,10,20221005-PRO-ICF.json
06/10/2022,22,92,14133,773,5,1288,4,4224,81782,1575,69,3,372,5,26,22,4614,2582,19,56,748,828,6794,0,25,40,78,39,1,mail_content_filter_incoming,10,20221006-PRO-ICF.json
07/10/2022,10,94,14145,774,2,1289,4,4214,81774,1580,62,3,387,16,26,11,4620,2592,32,57,747,832,6791,0,26,31,72,32,0,mail_content_filter_incoming,10,20221007-PRO-ICF.json
08/10/2022,16,88,14147,767,0,1279,0,4218,81789,1572,71,18,376,20,6,12,4614,2580,29,58,757,835,6802,8,23,24,85,47,0,mail_content_filter_incoming,0,20221008-PRO-ICF.json
09/10/2022,20,88,14132,776,0,1282,5,4220,81775,1569,71,17,388,13,14,9,4612,2574,33,55,745,836,6797,0,33,32,76,49,8,mail_content_filter_incoming,0,20221009-PRO-ICF.json
10/10/2022,28,88,14142,765,0,1282,0,4224,81775,1579,53,12,377,12,25,23,4628,2583,34,40,747,840,6796,10,18,22,69,46,9,mail_content_filter_incoming,5,20221010-PRO-ICF.json
11/10/2022,14,100,14145,771,7,1292,0,4227,81785,1578,67,7,388,10,20,17,4630,2574,30,42,750,822,6787,7,20,36,74,41,0,mail_content_filter_incoming,2,20221011-PRO-ICF.json
12/10/2022,24,98,14137,775,0,1292,0,4214,81789,1573,67,17,391,1,22,14,4624,2579,29,42,758,834,6794,5,36,28,80,36,6,mail_content_filter_incoming,0,20221012-PRO-ICF.json
13/10/2022,22,102,14146,781,0,1286,0,4218,81774,1566,60,15,376,20,9,17,4622,2582,26,50,759,837,6804,6,35,30,80,40,0,mail_content_filter_incoming,0,20221013-PRO-ICF.json
14/10/2022,21,95,14129,767,0,1282,0,4219,81778,1572,55,3,386,2,21,20,4613,2574,27,55,744,823,6795,8,34,34,78,36,0,mail_content_filter_incoming,0,20221014-PRO-ICF.json
15/10/2022,18,98,14140,772,5,1291,0,4228,81788,1569,52,13,385,9,25,10,4612,2591,26,45,755,837,6792,0,27,20,65,47,0,mail_content_filter_incoming,3,20221015-PRO-ICF.json
16/10/2022,9,94,14144,774,4,1275,0,4215,81777,1561,60,12,374,2,23,18,4617,2580,23,51,742,823,6788,0,33,26,75,44,0,mail_content_filter_incoming,0,20221016-PRO-ICF.json
17/10/2022,11,94,14140,783,0,1291,0,4217,81788,1567,62,17,377,20,17,17,4618,2574,27,50,746,828,6799,0,37,30,85,32,0,mail_content_filter_incoming,0,20221017-PRO-ICF.json
18/10/2022,18,97,14133,768,0,1280,0,4228,81779,1563,53,18,385,20,18,18,4628,2593,33,47,743,831,6804,0,21,23,81,33,0,mail_content_filter_incoming,0,20221018-PRO-ICF.json
19/10/2022,14,92,14140,773,7,1284,1,4226,81793,1573,62,19,389,7,24,20,4618,2586,32,47,753,834,6796,6,28,25,82,50,4,mail_content_filter_incoming,4,20221019-PRO-ICF.json
20/10/2022,12,106,14140,776,3,1277,0,4233,81792,1560,72,20,392,12,7,12,4628,2575,25,56,760,824,6793,0,36,32,67,32,0,mail_content_filter_incoming,0,20221020-PRO-ICF.json
21/10/2022,19,105,14140,782,10,1274,0,4218,81784,1579,66,19,374,4,20,4,4619,2580,26,43,744,823,6787,3,31,31,76,37,0,mail_content_filter_incoming,0,20221021-PRO-ICF.json
22/10/2022,29,99,14131,768,0,1290,4,4230,81773,1561,59,16,379,9,16,18,4624,2579,15,50,753,831,6796,6,21,30,80,50,7,mail_content_filter_incoming,10,20221022-PRO-ICF.json
23/10/2022,27,92,14129,773,3,1287,0,4227,81793,1568,56,6,382,3,10,8,4612,2593,34,47,761,838,6786,7,35,23,70,41,0,mail_content_filter_incoming,9,20221023-PRO-ICF.json
24/10/2022,27,106,14130,770,6,1291,2,4214,81790,1572,68,20,389,1,12,12,4626,2586,24,48,756,825,6800,10,19,36,68,45,4,mail_content_filter_incoming,3,20221024-PRO-ICF.json
25/10/2022,14,97,14138,777,0,1294,0,4216,81777,1566,52,19,390,8,6,17,4627,2589,32,39,761,835,6788,0,22,25,66,44,0,mail_content_filter_incoming,0,20221025-PRO-ICF.json
26/10/2022,11,96,14144,767,0,1282,0,4229,81786,1576,58,6,382,19,7,6,4630,2594,31,41,757,839,6795,2,20,33,82,33,0,mail_content_filter_incoming,0,20221026-PRO-ICF.json
27/10/2022,26,97,14134,769,0,1284,5,4228,81774,1580,56,15,372,4,26,17,4629,2584,29,52,743,836,6787,0,28,32,83,50,0,mail_content_filter_incoming,0,20221027-PRO-ICF.json
28/10/2022,9,102,14133,766,6,1278,0,4214,81787,1572,68,3,388,0,15,4,4631,2576,25,53,743,823,6788,0,28,35,81,40,0,mail_content_filter_incoming,6,20221028-PRO-ICF.json
29/10/2022,10,90,14149,777,9,1285,0,4223,81779,1577,54,14,384,18,10,5,4626,2577,29,48,762,834,6785,0,31,32,70,50,8,mail_content_filter_incoming,5,20221029-PRO-ICF.json
30/10/2022,11,97,14134,765,8,1289,0,4231,81792,1574,62,17,378,3,20,8,4621,2586,17,58,745,839,6802,3,31,38,75,48,0,mail_content_filter_incoming,2,20221030-PRO-ICF.json
31/10/2022,22,105,14135,768,5,1278,0,4230,81785,1571,65,4,384,9,10,7,4612,2576,35,39,746,835,6804,0,30,32,77,44,7,mail_content_filter_incoming,3,20221031-PRO-ICF.json
01/11/2022,25,106,14138,782,0,1284,7,4213,81788,1574,68,15,374,18,16,16,4623,2583,24,44,743,839,6791,5,38,22,85,48,8,mail_content_filter_incoming,0,20221101-PRO-ICF.json
02/11/2022,22,99,14149,771,0,1275,0,4227,81785,1575,61,15,379,17,13,15,4624,2589,23,43,758,833,6798,10,23,26,83,42,0,mail_content_filter_incoming,0,20221102-PRO-ICF.json
03/11/2022,9,106,14131,782,0,1286,10,4231,81778,1563,57,8,374,9,20,5,4632,2588,23,52,752,828,6785,9,24,39,85,34,0,mail_content_filter_incoming,0,20221103-PRO-ICF.json
04/11/2022,19,99,14146,770,0,1286,5,4216,81791,1577,63,10,390,9,18,4,4632,2594,17,50,759,830,6784,6,33,35,78,43,0,mail_content_filter_incoming,0,20221104-PRO-ICF.json
05/11/2022,26,91,14144,782,0,1281,10,4217,81773,1565,72,1,390,9,9,17,4631,2579,33,41,745,823,6791,0,19,24,80,51,0,mail_content_filter_incoming,5,20221105-PRO-ICF.json
06/11/2022,27,96,14143,776,0,1279,9,4214,81792,1565,67,19,385,2,26,12,4623,2587,15,56,749,826,6799,0,24,24,85,39,6,mail_content_filter_incoming,0,20221106-PRO-ICF.json
07/11/2022,22,93,14135,775,0,1276,5,4231,81788,1561,65,4,382,6,25,17,4617,2586,26,43,756,826,6791,0,28,27,68,38,3,mail_content_filter_incoming,10,20221107-PRO-ICF.json
08/11/2022,9,100,14144,766,4,1289,0,4215,81790,1560,65,6,373,4,17,12,4619,2594,17,39,757,829,6785,5,34,21,78,47,2,mail_content_filter_incoming,0,20221108-PRO-ICF.json
09/11/2022,26,93,14135,770,0,1285,0,4229,81786,1568,53,2,376,11,17,17,4627,2590,31,42,757,837,6794,0,35,23,85,46,8,mail_content_filter_incoming,7,20221109-PRO-ICF.json
10/11/2022,29,97,14133,772,0,1282,0,4228,81784,1569,53,4,387,11,15,17,4617,2593,20,56,751,825,6802,6,35,34,79,40,8,mail_content_filter_incoming,0,20221110-PRO-ICF.json
11/11/2022,24,88,14143,774,0,1284,0,4232,81793,1566,70,16,376,7,14,9,4612,2576,32,53,744,836,6801,0,27,20,77,50,0,mail_content_filter_incoming,2,20221111-PRO-ICF.json
12/11/2022,29,95,14141,772,7,1289,0,4222,81791,1569,67,17,385,14,13,3,4612,2578,23,48,762,840,6789,7,32,38,69,37,0,mail_content_filter_incoming,5,20221112-PRO-ICF.json
13/11/2022,25,107,14146,773,0,1283,0,4224,81776,1577,70,11,374,4,6,7,4628,2583,26,54,755,830,6800,0,38,25,68,50,0,mail_content_filter_incoming,0,20221113-PRO-ICF.json
14/11/2022,10,93,14130,765,0,1274,0,4216,81792,1566,70,6,375,5,17,3,4614,2578,23,57,753,831,6785,6,36,21,80,34,0,mail_content_filter_incoming,0,20221114-PRO-ICF.json
15/11/2022,19,102,14146,776,0,1287,0,4215,81788,1571,57,0,375,15,9,15,4626,2590,17,42,746,832,6796,0,32,39,74,45,0,mail_content_filter_incoming,2,20221115-PRO-ICF.json
16/11/2022,19,91,14135,772,5,1289,6,4221,81790,1570,69,17,381,0,7,16,4615,2586,29,49,754,834,6803,9,21,22,81,46,4,mail_content_filter_incoming,4,20221116-PRO-ICF.json
17/11/2022,22,98,14138,781,0,1276,0,4216,81783,1565,52,17,383,10,7,17,4625,2592,31,52,750,820,6797,1,19,27,72,38,10,mail_content_filter_incoming,5,20221117-PRO-ICF.json
18/11/2022,15,98,14135,776,2,1282,9,4229,81787,1577,57,0,374,20,22,8,4630,2589,21,53,750,840,6804,0,34,29,78,48,0,mail_content_filter_incoming,7,20221118-PRO-ICF.json
19/11/2022,9,95,14131,773,9,1283,0,4226,81784,1562,64,4,380,7,9,21,4628,2577,31,57,758,828,6801,0,38,21,80,31,0,mail_content_filter_incoming,5,20221119-PRO-ICF.json
20/11/2022,29,98,14138,765,0,1283,0,4218,81787,1580,62,20,375,13,7,11,4614,2589,30,52,752,833,6801,0,32,32,65,43,0,mail_content_filter_incoming,0,20221120-PRO-ICF.json
21/11/2022,22,98,14149,782,10,1281,0,4227,81779,1568,57,1,377,12,25,16,4631,2582,19,41,753,825,6796,2,36,27,65,31,7,mail_content_filter_incoming,8,20221121-PRO-ICF.json
22/11/2022,17,89,14148,782,0,1274,0,4229,81792,1572,61,12,375,11,10,20,4613,2592,20,47,747,836,6801,0,19,30,72,46,1,mail_content_filter_incoming,5,20221122-PRO-ICF.json
23/11/2022,23,98,14131,769,0,1279,0,4229,81781,1578,70,6,389,18,6,19,4630,2579,28,41,749,835,6799,4,33,23,69,34,1,mail_content_filter_incoming,0,20221123-PRO-ICF.json
24/11/2022,14,99,14142,772,9,1278,1,4216,81784,1576,58,15,384,14,18,18,4620,2592,34,52,744,833,6793,10,38,24,68,40,5,mail_content_filter_incoming,1,20221124-PRO-ICF.json
25/11/2022,20,95,14141,764,0,1287,0,4223,81791,1574,66,19,390,8,16,8,4618,2579,17,58,750,823,6786,6,18,23,79,36,0,mail_content_filter_incoming,3,20221125-PRO-ICF.json
