data.date,data.resultSet.0.failed_dkim,data.resultSet.1.total_graymail_recipients,data.resultSet.10.marketing_mail,data.resultSet.11.ims_spam_increment_over_case,data.resultSet.12.total_mailbox_auto_remediated_recipients,data.resultSet.13.detected_spam_certain,data.resultSet.14.detected_spam_suspect,data.resultSet.15.blocked_dmarc,data.resultSet.16.total_threat_recipients,data.resultSet.17.total_recipients,data.resultSet.18.verif_decrypt_fail,data.resultSet.19.detected_amp,data.resultSet.2.detected_spam,data.resultSet.20.bulk_mail,data.resultSet.21.social_mail,data.resultSet.22.total_clean_recipients,data.resultSet.23.detected_virus_per_msg,data.resultSet.24.failed_spf,data.resultSet.25.blocked_reputation,data.resultSet.3.malicious_url,data.resultSet.4.total_spoofed_emails,data.resultSet.5.verif_decrypt_success,data.resultSet.6.detected_virus,data.resultSet.7.threat_content_filter,data.resultSet.8.blocked_invalid_recipient,data.resultSet.9.blocked_sdr,data.type,meta.totalCount,source_file
11/08/2022,0,214172,48337,5,0,17056,4404,18447,176901,821844,0,14,21457,73483,92336,430771,132,1156,146118,75,19602,6,988,8118,128,2,mail_incoming_traffic_summary,15,20220811-PRO-IM.json
12/08/2022,3,214173,48344,4,0,17065,4415,18441,176917,821841,0,31,21465,73472,92339,430767,131,1148,146115,79,19592,6,989,8119,125,1,mail_incoming_traffic_summary,14,20220812-PRO-IM.json
13/08/2022,9,214162,48327,0,6,17063,4416,18454,176906,821843,8,24,21446,73486,92346,430767,141,1152,146123,62,19592,8,995,8105,119,10,mail_incoming_traffic_summary,7,20220813-PRO-IM.json
14/08/2022,0,214161,48334,4,6,17062,4403,18454,176915,821842,2,17,21449,73485,92347,430769,128,1149,146123,74,19588,10,981,8120,120,8,mail_incoming_traffic_summary,7,20220814-PRO-IM.json
15/08/2022,5,214162,48336,11,6,17064,4397,18459,176900,821845,10,20,21456,73473,92333,430778,129,1161,146113,79,19597,10,979,8115,128,4,mail_incoming_traffic_summary,11,20220815-PRO-IM.json
16/08/2022,5,214157,48338,0,0,17065,4397,18459,176913,821847,0,30,21453,73477,92338,430785,132,1160,146118,72,19603,1,995,8114,120,0,mail_incoming_traffic_summary,1,20220816-PRO-IM.json
17/08/2022,0,214161,48328,11,5,17056,4416,18453,176901,821842,0,12,21461,73475,92346,430768,129,1148,146127,60,19604,7,987,8124,118,12,mail_incoming_traffic_summary,1,20220817-PRO-IM.json
18/08/2022,0,214164,48331,0,0,17051,4396,18451,176905,821856,0,11,21450,73471,92339,430766,130,1154,146126,79,19585,0,981,8109,128,0,mail_incoming_traffic_summary,0,20220818-PRO-IM.json
19/08/2022,7,214160,48329,1,4,17057,4404,18451,176902,821853,0,13,21459,73468,92333,430778,129,1152,146114,74,19592,3,987,8119,123,5,mail_incoming_traffic_summary,14,20220819-PRO-IM.json
20/08/2022,0,214158,48336,0,2,17056,4406,18458,176917,821840,0,15,21466,73471,92350,430766,128,1149,146124,60,19587,6,983,8117,124,6,mail_incoming_traffic_summary,10,20220820-PRO-IM.json
21/08/2022,8,214167,48336,0,10,17061,4407,18442,176911,821841,0,24,21464,73484,92343,430781,128,1153,146119,72,19605,3,986,8108,123,0,mail_incoming_traffic_summary,7,20220821-PRO-IM.json
22/08/2022,6,214156,48346,0,10,17066,4412,18452,176912,821856,7,12,21455,73480,92349,430785,132,1151,146129,74,19599,0,978,8116,120,0,mail_incoming_traffic_summary,12,20220822-PRO-IM.json
23/08/2022,0,214171,48342,2,0,17058,4405,18445,176904,821848,5,17,21458,73473,92335,430769,128,1150,146113,80,19595,0,993,8107,131,5,mail_incoming_traffic_summary,13,20220823-PRO-IM.json
24/08/2022,0,214163,48333,5,2,17047,4409,18441,176910,821854,1,18,21448,73478,92333,430776,133,1141,146120,65,19593,4,993,8109,124,0,mail_incoming_traffic_summary,0,20220824-PRO-IM.json
25/08/2022,8,214167,48342,8,0,17059,4411,18441,176918,821850,1,19,21451,73466,92342,430767,137,1148,146130,62,19601,1,979,8121,128,8,mail_incoming_traffic_summary,0,20220825-PRO-IM.json
26/08/2022,6,214162,48336,0,0,17057,4405,18449,176912,821857,3,16,21448,73480,92342,430779,127,1152,146129,73,19587,3,996,8110,128,1,mail_incoming_traffic_summary,10,20220826-PRO-IM.json
27/08/2022,4,214160,48331,5,0,17057,4407,18442,176915,821855,0,20,21465,73471,92351,430770,137,1157,146117,69,19600,0,980,8109,113,6,mail_incoming_traffic_summary,0,20220827-PRO-IM.json
28/08/2022,6,214163,48335,10,8,17049,4412,18460,176903,821856,8,15,21448,73471,92350,430784,136,1159,146111,68,19591,10,994,8113,115,12,mail_incoming_traffic_summary,0,20220828-PRO-IM.json
29/08/2022,0,214158,48336,9,1,17053,4401,18455,176914,821852,5,20,21449,73481,92331,430767,138,1157,146124,61,19594,2,996,8118,118,0,mail_incoming_traffic_summary,4,20220829-PRO-IM.json
30/08/2022,2,214170,48330,10,7,17051,4406,18459,176908,821843,2,30,21447,73475,92349,430775,142,1157,146127,61,19586,0,987,8120,127,6,mail_incoming_traffic_summary,12,20220830-PRO-IM.json
31/08/2022,0,214169,48337,11,0,17066,4411,18446,176905,821846,7,20,21462,73473,92340,430774,132,1156,146120,72,19595,0,991,8122,121,9,mail_incoming_traffic_summary,12,20220831-PRO-IM.json
01/09/2022,5,214169,48346,9,0,17064,4397,18445,176911,821843,0,23,21466,73481,92336,430774,127,1141,146119,66,19594,0,986,8125,112,0,mail_incoming_traffic_summary,15,20220901-PRO-IM.json
02/09/2022,8,214172,48335,0,3,17063,4405,18443,176918,821847,1,30,21446,73473,92338,430769,141,1145,146124,68,19605,1,984,8106,114,6,mail_incoming_traffic_summary,16,20220902-PRO-IM.json
03/09/2022,0,214172,48341,0,0,17060,4401,18444,176918,821858,3,22,21448,73478,92345,430777,138,1143,146127,61,19598,1,979,8122,112,0,mail_incoming_traffic_summary,1,20220903-PRO-IM.json
04/09/2022,0,214172,48333,4,0,17055,4397,18457,176916,821843,10,24,21456,73483,92346,430766,137,1161,146122,78,19604,0,984,8114,115,8,mail_incoming_traffic_summary,13,20220904-PRO-IM.json
05/09/2022,0,214160,48336,0,3,17061,4413,18460,176909,821847,0,22,21449,73482,92346,430779,129,1156,146120,75,19592,9,983,8117,118,9,mail_incoming_traffic_summary,3,20220905-PRO-IM.json
06/09/2022,0,214158,48345,6,6,17047,4396,18457,176915,821851,0,11,21446,73482,92339,430782,135,1141,146126,66,19601,4,988,8106,130,12,mail_incoming_traffic_summary,10,20220906-PRO-IM.json
07/09/2022,0,214156,48344,0,3,17049,4405,18445,176916,821845,8,23,21454,73483,92341,430777,130,1143,146126,77,19603,0,982,8115,111,0,mail_incoming_traffic_summary,8,20220907-PRO-IM.json
08/09/2022,3,214168,48343,0,10,17066,4406,18452,176898,821847,3,23,21463,73468,92348,430772,144,1157,146115,77,19601,3,980,8105,113,3,mail_incoming_traffic_summary,9,20220908-PRO-IM.json
09/09/2022,10,214169,48344,0,9,17064,4401,18457,176898,821852,0,25,21464,73475,92333,430778,141,1145,146130,67,19595,2,985,8117,122,0,mail_incoming_traffic_summary,6,20220909-PRO-IM.json
10/09/2022,8,214170,48329,0,2,17056,4406,18454,176904,821854,5,22,21450,73481,92334,430779,140,1151,146112,71,19585,5,980,8114,124,0,mail_incoming_traffic_summary,6,20220910-PRO-IM.json
11/09/2022,0,214173,48345,0,0,17066,4414,18442,176902,821848,0,18,21458,73475,92334,430770,137,1145,146126,79,19597,8,980,8116,122,6,mail_incoming_traffic_summary,9,20220911-PRO-IM.json
12/09/2022,4,214172,48337,8,0,17061,4413,18446,176911,821841,10,18,21461,73475,92332,430779,134,1152,146112,77,19601,0,995,8108,119,9,mail_incoming_traffic_summary,11,20220912-PRO-IM.json
13/09/2022,0,214174,48344,0,0,17061,4416,18451,176900,821855,2,17,21448,73479,92337,430780,134,1151,146119,72,19601,0,988,8119,126,2,mail_incoming_traffic_summary,7,20220913-PRO-IM.json
14/09/2022,4,214154,48338,0,0,17050,4406,18451,176907,821842,2,15,21446,73486,92335,430767,142,1159,146110,70,19588,3,981,8120,113,0,mail_incoming_traffic_summary,16,20220914-PRO-IM.json
15/09/2022,9,214156,48337,8,0,17062,4398,18440,176916,821840,0,19,21462,73472,92332,430766,138,1157,146119,60,19596,0,981,8117,129,5,mail_incoming_traffic_summary,17,20220915-PRO-IM.json
16/09/2022,0,214165,48328,0,9,17067,4398,18455,176912,821854,1,12,21450,73481,92349,430770,137,1146,146118,68,19588,0,987,8118,119,8,mail_incoming_traffic_summary,0,20220916-PRO-IM.json
17/09/2022,9,214161,48326,4,0,17054,4413,18451,176918,821838,0,11,21460,73478,92340,430768,132,1157,146117,71,19603,5,983,8122,118,0,mail_incoming_traffic_summary,10,20220917-PRO-IM.json
18/09/2022,0,214168,48327,0,1,17051,4398,18447,176909,821850,6,12,21455,73475,92339,430770,126,1153,146124,74,19593,0,979,8110,120,11,mail_incoming_traffic_summary,14,20220918-PRO-IM.json
19/09/2022,0,214173,48341,0,0,17055,4408,18444,176911,821844,10,27,21465,73473,92351,430782,126,1153,146121,79,19592,10,986,8120,124,9,mail_incoming_traffic_summary,12,20220919-PRO-IM.json
20/09/2022,0,214169,48341,0,1,17066,4402,18444,176908,821843,0,12,21447,73466,92335,430783,130,1144,146126,62,19586,0,996,8112,111,8,mail_incoming_traffic_summary,8,20220920-PRO-IM.json
21/09/2022,0,214174,48334,0,0,17048,4408,18454,176911,821843,3,26,21456,73478,92342,430782,138,1144,146125,74,19585,0,983,8112,113,3,mail_incoming_traffic_summary,15,20220921-PRO-IM.json
22/09/2022,0,214165,48329,0,0,17052,4416,18449,176900,821853,0,20,21446,73478,92346,430780,134,1143,146130,73,19587,0,997,8124,126,0,mail_incoming_traffic_summary,14,20220922-PRO-IM.json
23/09/2022,0,214158,48334,1,0,17049,4408,18457,176910,821855,0,19,21447,73482,92345,430765,145,1159,146126,73,19587,3,983,8125,115,11,mail_incoming_traffic_summary,10,20220923-PRO-IM.json
24/09/2022,0,214162,48341,7,2,17048,4412,18445,176900,821847,6,23,21459,73470,92347,430783,126,1146,146116,79,19605,0,983,8119,117,5,mail_incoming_traffic_summary,3,20220924-PRO-IM.json
25/09/2022,0,214173,48338,2,5,17055,4402,18454,176907,821854,9,23,21446,73484,92334,430765,142,1152,146127,67,19593,9,986,8125,119,5,mail_incoming_traffic_summary,17,20220925-PRO-IM.json
26/09/2022,0,214169,48337,0,0,17060,4406,18451,176906,821856,0,25,21450,73469,92346,430766,146,1159,146128,68,19602,0,987,8125,113,0,mail_incoming_traffic_summary,16,20220926-PRO-IM.json
27/09/2022,0,214165,48333,2,0,17051,4399,18452,176914,821856,0,16,21446,73468,92332,430774,135,1155,146126,70,19601,0,977,8105,131,0,mail_incoming_traffic_summary,16,20220927-PRO-IM.json
28/09/2022,0,214170,48329,0,0,17050,4411,18446,176917,821844,0,27,21454,73472,92342,430778,135,1146,146111,79,19604,0,990,8108,127,11,mail_incoming_traffic_summary,14,20220928-PRO-IM.json
29/09/2022,2,214168,48327,0,0,17060,4414,18455,176916,821852,0,30,21454,73478,92342,430784,126,1145,146125,72,19600,3,997,8110,114,0,mail_incoming_traffic_summary,12,20220929-PRO-IM.json
30/09/2022,0,214168,48341,11,0,17050,4408,18453,176899,821855,7,11,21460,73468,92350,430784,146,1150,146126,78,19599,0,992,8119,121,0,mail_incoming_traffic_summary,14,20220930-PRO-IM.json
01/10/2022,4,214168,48339,9,6,17063,4401,18458,176903,821842,0,23,21464,73485,92350,430775,142,1153,146123,76,19589,5,977,8121,112,9,mail_incoming_traffic_summary,16,20221001-PRO-IM.json
02/10/2022,0,214163,48340,0,10,17064,4403,18460,176915,821850,0,27,21454,73475,92332,430777,138,1154,146120,64,19586,0,983,8122,112,3,mail_incoming_traffic_summary,14,20221002-PRO-IM.json
03/10/2022,0,214164,48343,8,3,17049,4407,18447,176904,821848,0,22,21462,73475,92337,430784,142,1156,146127,67,19590,6,979,8121,116,5,mail_incoming_traffic_summary,17,20221003-PRO-IM.json
04/10/2022,0,214168,48328,9,0,17055,4409,18452,176912,821858,2,24,21456,73476,92331,430777,129,1158,146110,61,19587,0,978,8110,119,9,mail_incoming_traffic_summary,17,20221004-PRO-IM.json
05/10/2022,6,214158,48344,0,8,17061,4416,18457,176900,821847,0,19,21451,73469,92337,430783,141,1151,146121,65,19592,9,985,8111,114,0,mail_incoming_traffic_summary,1,20221005-PRO-IM.json
06/10/2022,0,214156,48332,0,8,17055,4413,18457,176913,821858,0,22,21446,73478,92338,430783,135,1145,146124,76,19605,0,995,8123,123,10,mail_incoming_traffic_summary,13,20221006-PRO-IM.json
07/10/2022,2,214165,48338,2,2,17062,4411,18459,176898,821854,0,25,21464,73471,92338,430767,142,1161,146118,80,19587,6,985,8117,118,8,mail_incoming_traffic_summary,3,20221007-PRO-IM.json
08/10/2022,0,214167,48336,5,10,17065,4398,18447,176910,821850,0,14,21465,73466,92337,430781,142,1154,146114,64,19603,0,996,8121,119,0,mail_incoming_traffic_summary,16,20221008-PRO-IM.json
09/10/2022,2,214174,48344,0,0,17064,4409,18458,176909,821857,0,23,21452,73472,92344,430782,143,1156,146115,70,19598,1,980,8109,124,12,mail_incoming_traffic_summary,8,20221009-PRO-IM.json
10/10/2022,4,214154,48333,10,0,17048,4407,18447,176918,821838,0,13,21452,73474,92343,430776,138,1153,146128,76,19594,0,978,8124,127,8,mail_incoming_traffic_summary,3,20221010-PRO-IM.json
11/10/2022,10,214161,48333,0,0,17059,4406,18442,176915,821843,5,21,21453,73477,92337,430783,134,1146,146116,70,19598,1,993,8122,111,0,mail_incoming_traffic_summary,12,20221011-PRO-IM.json
12/10/2022,0,214154,48331,8,0,17054,4404,18455,176917,821848,1,16,21452,73481,92344,430771,139,1152,146121,72,19603,0,987,8116,130,0,mail_incoming_traffic_summary,9,20221012-PRO-IM.json
13/10/2022,1,214154,48346,8,0,17056,4407,18450,176914,821853,4,13,21459,73478,92350,430774,140,1161,146114,63,19596,9,983,8123,129,12,mail_incoming_traffic_summary,2,20221013-PRO-IM.json
14/10/2022,9,214158,48346,0,0,17063,4401,18440,176899,821849,0,26,21448,73480,92348,430773,143,1155,146114,80,19597,0,984,8112,120,6,mail_incoming_traffic_summary,14,20221014-PRO-IM.json
15/10/2022,2,214161,48346,0,7,17066,4404,18449,176918,821855,0,24,21451,73472,92333,430770,130,1150,146113,80,19597,2,984,8113,113,5,mail_incoming_traffic_summary,17,20221015-PRO-IM.json
16/10/2022,2,214168,48338,0,1,17052,4416,18441,176915,821854,0,19,21453,73481,92351,430774,132,1152,146111,61,19591,4,980,8121,117,7,mail_incoming_traffic_summary,3,20221016-PRO-IM.json
17/10/2022,5,214168,48337,1,5,17055,4415,18457,176903,821840,6,15,21463,73480,92340,430773,143,1152,146124,69,19602,5,983,8123,116,9,mail_incoming_traffic_summary,0,20221017-PRO-IM.json
18/10/2022,9,214156,48337,8,4,17058,4397,18459,176906,821854,0,13,21446,73475,92333,430771,142,1144,146113,66,19605,5,979,8119,131,0,mail_incoming_traffic_summary,4,20221018-PRO-IM.json
19/10/2022,2,214154,48335,0,0,17057,4396,18448,176915,821854,7,29,21447,73484,92335,430768,127,1155,146121,69,19604,0,993,8109,120,0,mail_incoming_traffic_summary,1,20221019-PRO-IM.json
20/10/2022,6,214161,48333,4,0,17059,4400,18444,176908,821840,5,29,21450,73467,92348,430777,134,1143,146122,61,19597,4,996,8123,127,0,mail_incoming_traffic_summary,13,20221020-PRO-IM.json
21/10/2022,0,214173,48326,1,0,17064,4402,18446,176915,821854,0,28,21450,73481,92350,430769,126,1153,146128,69,19585,0,980,8114,125,7,mail_incoming_traffic_summary,13,20221021-PRO-IM.json
22/10/2022,0,214161,48334,0,0,17057,4408,18444,176900,821850,6,30,21462,73486,92338,430778,133,1159,146114,68,19586,10,985,8117,111,9,mail_incoming_traffic_summary,10,20221022-PRO-IM.json
23/10/2022,0,214173,48345,6,11,17058,4401,18452,176913,821853,0,16,21453,73472,92338,430766,139,1141,146118,67,19585,1,979,8120,115,8,mail_incoming_traffic_summary,10,20221023-PRO-IM.json
24/10/2022,0,214173,48329,0,9,17064,4400,18452,176911,821848,4,11,21447,73471,92345,430783,132,1155,146112,76,19589,4,997,8119,113,8,mail_incoming_traffic_summary,5,20221024-PRO-IM.json
25/10/2022,0,214172,48333,8,0,17066,4416,18457,176904,821839,0,15,21461,73467,92351,430776,127,1145,146111,74,19598,4,979,8124,130,0,mail_incoming_traffic_summary,15,20221025-PRO-IM.json
26/10/2022,3,214173,48344,6,7,17067,4411,18455,176903,821857,0,20,21456,73472,92331,430768,126,1155,146130,68,19601,8,996,8116,115,11,mail_incoming_traffic_summary,0,20221026-PRO-IM.json
27/10/2022,8,214164,48330,0,0,17057,4408,18460,176915,821843,8,30,21463,73478,92336,430784,129,1150,146120,77,19585,0,995,8115,122,0,mail_incoming_traffic_summary,0,20221027-PRO-IM.json
28/10/2022,0,214154,48334,8,1,17061,4399,18448,176902,821843,0,14,21464,73466,92350,430782,142,1144,146116,69,19605,0,987,8111,117,1,mail_incoming_traffic_summary,14,20221028-PRO-IM.json
29/10/2022,0,214161,48340,6,0,17049,4411,18443,176909,821853,4,16,21450,73475,92342,430784,144,1145,146126,79,19593,1,989,8110,121,2,mail_incoming_traffic_summary,0,20221029-PRO-IM.json
30/10/2022,0,214169,48330,0,5,17064,4405,18452,176917,821856,4,17,21466,73472,92341,430774,144,1150,146123,61,19587,0,981,8123,131,0,mail_incoming_traffic_summary,8,20221030-PRO-IM.json
31/10/2022,0,214156,48340,7,4,17064,4410,18452,176909,821845,0,24,21450,73485,92331,430783,141,1148,146126,80,19598,4,996,8118,130,0,mail_incoming_traffic_summary,5,20221031-PRO-IM.json
01/11/2022,8,214162,48345,0,0,17062,4398,18444,176914,821840,0,19,21447,73470,92350,430773,134,1149,146110,80,19600,8,982,8123,112,1,mail_incoming_traffic_summary,0,20221101-PRO-IM.json
02/11/2022,0,214168,48339,10,11,17055,4406,18448,176906,821841,0,31,21458,73484,92343,430779,133,1159,146116,70,19601,0,980,8122,131,3,mail_incoming_traffic_summary,13,20221102-PRO-IM.json
03/11/2022,0,214162,48340,0,6,17053,4415,18452,176903,821858,5,14,21447,73470,92348,430778,132,1160,146130,72,19597,0,978,8113,119,0,mail_incoming_traffic_summary,0,20221103-PRO-IM.json
04/11/2022,4,214163,48338,0,11,17058,4411,18442,176918,821852,0,15,21466,73467,92337,430765,144,1148,146125,66,19590,7,978,8117,117,1,mail_incoming_traffic_summary,9,20221104-PRO-IM.json
05/11/2022,9,214173,48344,8,0,17057,4402,18441,176916,821843,0,13,21453,73469,92339,430769,139,1146,146121,62,19591,3,987,8117,121,0,mail_incoming_traffic_summary,14,20221105-PRO-IM.json
06/11/2022,6,214157,48334,0,0,17050,4400,18455,176913,821843,0,12,21465,73467,92351,430776,135,1147,146123,71,19602,6,984,8119,131,0,mail_incoming_traffic_summary,5,20221106-PRO-IM.json
07/11/2022,1,214162,48329,5,5,17060,4401,18450,176905,821847,9,16,21452,73486,92350,430770,144,1158,146117,70,19589,0,995,8106,119,0,mail_incoming_traffic_summary,0,20221107-PRO-IM.json
08/11/2022,4,214172,48346,5,11,17047,4416,18442,176910,821848,6,12,21464,73475,92344,430773,145,1158,146128,60,19599,4,981,8117,116,3,mail_incoming_traffic_summary,3,20221108-PRO-IM.json
09/11/2022,0,214168,48331,0,0,17050,4401,18448,176901,821842,5,15,21465,73472,92347,430785,126,1150,146123,71,19587,0,991,8107,113,4,mail_incoming_traffic_summary,14,20221109-PRO-IM.json
10/11/2022,0,214159,48337,0,0,17064,4397,18450,176909,821842,1,25,21453,73483,92336,430782,135,1144,146110,63,19586,0,995,8109,125,0,mail_incoming_traffic_summary,9,20221110-PRO-IM.json
11/11/2022,0,214169,48339,2,3,17058,4396,18449,176909,821849,0,25,21456,73483,92333,430771,140,1154,146124,79,19604,6,978,8116,123,0,mail_incoming_traffic_summary,6,20221111-PRO-IM.json
12/11/2022,0,214174,48334,6,0,17066,4407,18458,176913,821856,3,19,21455,73486,92346,430768,137,1157,146128,73,19590,5,997,8112,111,0,mail_incoming_traffic_summary,0,20221112-PRO-IM.json
13/11/2022,0,214160,48343,0,4,17061,4398,18443,176902,821838,5,22,21450,73475,92342,430769,140,1160,146126,76,19592,0,994,8124,127,9,mail_incoming_traffic_summary,7,20221113-PRO-IM.json
14/11/2022,6,214173,48332,0,0,17052,4413,18440,176901,821844,6,26,21453,73477,92349,430770,140,1144,146115,76,19603,0,980,8123,111,8,mail_incoming_traffic_summary,8,20221114-PRO-IM.json
15/11/2022,8,214157,48329,0,4,17062,4404,18458,176916,821846,10,23,21451,73477,92346,430784,138,1156,146126,62,19596,0,987,8111,130,4,mail_incoming_traffic_summary,5,20221115-PRO-IM.json
16/11/2022,0,214155,48338,6,0,17065,4411,18457,176915,821856,5,26,21451,73483,92336,430781,127,1153,146118,77,19594,0,992,8118,115,1,mail_incoming_traffic_summary,12,20221116-PRO-IM.json
17/11/2022,8,214154,48329,0,1,17062,4412,18450,176903,821857,0,22,21456,73479,92337,430780,146,1143,146127,72,19603,2,987,8123,114,7,mail_incoming_traffic_summary,3,20221117-PRO-IM.json
18/11/2022,9,214167,48333,0,0,17060,4409,18450,176900,821858,0,24,21464,73474,92340,430785,131,1149,146129,80,19586,6,983,8116,125,0,mail_incoming_traffic_summary,4,20221118-PRO-IM.json
19/11/2022,0,214161,48332,0,0,17052,4402,18448,176912,821851,0,29,21465,73467,92346,430782,137,1144,146120,63,19595,0,995,8117,118,5,mail_incoming_traffic_summary,14,20221119-PRO-IM.json
20/11/2022,0,214162,48326,0,11,17067,4401,18460,176912,821858,0,11,21462,73478,92337,430785,135,1151,146128,62,19596,3,996,8122,121,6,mail_incoming_traffic_summary,0,20221120-PRO-IM.json
21/11/2022,0,214154,48334,0,6,17059,4400,18453,176904,821857,0,20,21462,73472,92344,430770,139,1145,146110,73,19599,5,980,8112,117,0,mail_incoming_traffic_summary,6,20221121-PRO-IM.json
22/11/2022,0,214168,48336,0,0,17062,4404,18451,176911,821847,0,30,21450,73474,92347,430775,139,1146,146120,62,19595,6,990,8109,119,0,mail_incoming_traffic_summary,12,20221122-PRO-IM.json
23/11/2022,0,214154,48326,0,5,17062,4410,18460,176906,821857,0,21,21455,73467,92351,430784,140,1151,146128,63,19597,1,995,8108,121,0,mail_incoming_traffic_summary,1,20221123-PRO-IM.json
24/11/2022,9,214159,48333,11,0,17062,4412,18460,176918,821854,0,20,21459,73480,92344,430767,141,1150,146114,80,19598,0,978,8121,121,6,mail_incoming_traffic_summary,1,20221124-PRO-IM.json
25/11/2022,7,214154,48338,10,6,17056,4415,18459,176909,821850,0,13,21446,73470,92335,430765,132,1144,146110,72,19588,0,982,8125,126,6,mail_incoming_traffic_summary,3,20221125-PRO-IM.json
26/11/2022,8,214173,48343,0,0,17067,4409,18455,176901,821853,9,31,21461,73477,92345,430778,126,1146,146119,67,19586,6,977,8118,129,2,mail_incoming_traffic_summary,3,20221126-PRO-IM.json
27/11/2022,9,214161,48343,0,0,17063,4415,18443,176899,821852,4,14,21449,73469,92350,430784,129,1158,146111,77,19592,5,985,8115,122,0,mail_incoming_traffic_summary,13,20221127-PRO-IM.json
28/11/2022,0,214170,48338,0,11,17051,4414,18441,176918,821854,0,24,21448,73478,92348,430774,136,1152,146110,62,19595,0,989,8110,124,0,mail_incoming_traffic_summary,5,20221128-PRO-IM.json
29/11/2022,6,214165,48340,1,0,17065,4414,18460,176915,821857,0,22,21449,73475,92340,430783,130,1153,146126,61,19605,0,991,8114,129,0,mail_incoming_traffic_summary,4,20221129-PRO-IM.json
30/11/2022,0,214171,48335,0,7,17051,4399,18451,176907,821849,0,20,21457,73481,92331,430769,130,1159,146123,63,19604,3,980,8108,122,10,mail_incoming_traffic_summary,0,20221130-PRO-IM.json
01/12/2022,7,214174,48327,9,7,17053,4411,18456,176898,821841,7,16,21449,73466,92339,430771,133,1159,146124,80,19602,0,983,8124,128,10,mail_incoming_traffic_summary,0,20221201-PRO-IM.json
02/12/2022,0,214173,48327,1,5,17064,4409,18442,176913,821838,3,31,21464,73473,92331,430773,143,1159,146113,67,19600,6,993,8117,114,0,mail_incoming_traffic_summary,4,20221202-PRO-IM.json
03/12/2022,0,214171,48334,5,0,17054,4406,18450,176904,821852,9,21,21454,73466,92335,430785,126,1160,146125,73,19591,9,993,8115,121,12,mail_incoming_traffic_summary,0,20221203-PRO-IM.json
04/12/2022,2,214157,48345,9,0,17049,4414,18444,176900,821842,0,29,21454,73473,92347,430773,132,1141,146127,78,19601,5,982,8122,117,10,mail_incoming_traffic_summary,16,20221204-PRO-IM.json
